CustomerID,Gender,Age,AnnualIncome,TotalPurchases,TotalSpent,AverageOrderValue,PurchaseFrequency,WebsiteVisits,CartAdditions,CustomerSatisfaction
1092,Female,64,58233,14,1758.36,125.6,4.4,51,14,2.5
1093,Female,60,67704,12,1367.24,113.94,6.2,57,8,3.0
1094,Female,46,74934,12,420.0,35.0,2.0,28,4,3.5
1095,Female,21,60518,18,1480.17,82.23,9.6,34,11,3.9
1096,Non-binary,19,106118,21,2235.11,106.43,7.2,49,6,3.3
1097,Male,49,81333,11,1748.84,158.99,8.4,57,23,2.5
1098,Female,32,47191,14,1519.71,108.55,7.6,46,12,3.8
1099,Non-binary,26,95967,22,3022.86,137.4,7.9,48,18,4.4
1100,Non-binary,25,89273,15,1889.93,126.0,6.4,50,1,4.1
1101,Non-binary,57,26636,10,708.28,70.83,3.2,56,12,5.0
1102,Non-binary,20,77792,11,846.02,76.91,5.0,43,3,3.6
1103,Female,60,90184,9,998.69,110.97,4.8,51,7,3.1
1104,Male,52,58103,15,1989.12,132.61,3.8,44,16,4.1
1105,Female,46,34297,19,2621.31,137.96,8.4,45,17,4.8
1106,Male,52,99555,13,1873.81,144.14,6.5,48,17,3.8
1107,Male,37,58052,13,1663.06,127.93,7.7,44,16,4.1
1108,Female,60,102615,11,1286.81,116.98,4.6,39,14,4.0
1109,Non-binary,61,77835,14,1416.12,101.15,1.9,38,10,4.5
1110,Non-binary,52,72866,16,1519.03,94.94,7.6,61,13,4.4
1111,Non-binary,58,45084,14,1664.22,118.87,5.0,33,5,4.2
1112,Non-binary,33,78500,17,1065.25,62.66,11.3,58,18,3.9
1113,Male,40,64311,11,1738.27,158.02,3.8,40,4,4.1
1114,Non-binary,24,66143,17,1806.88,106.29,4.6,32,10,4.7
1115,Male,37,53921,28,3059.07,109.25,14.3,63,17,3.5
1116,Female,39,30952,10,923.49,92.35,4.8,53,15,3.3
1117,Non-binary,19,66390,14,1928.32,137.74,7.8,36,13,2.9
1118,Non-binary,61,99285,12,1256.12,104.68,3.2,37,10,3.9
1119,Female,61,59329,14,1849.57,132.11,6.7,38,8,3.7
1120,Male,34,110512,10,352.97,35.3,2.8,36,5,4.8
